ecole;type;statut;ville_commune;adresse;telephone_1;telephone_2;whatsapp;email;site_web;interlocuteur_cible;fiabilite;source;type_email;etat_email
ESTEAI - Ecole Superieure des Techniques Electroniques Audiovisuelles et Informatiques;Ecole superieure - electronique et informatique;Prive;Abidjan;Abidjan;+225 05 75 26 03 53;;;;;Directeur des Etudes;Moyenne;AnnuaireCI;;sans email
INFAS Institut National de Formation des Agents de Sante;Institut national - sante paramedical infirmiers sages-femmes;Public;Abidjan;;+225 07 87 88 99 02;+225 05 64 87 80 70;;;https://infas.ci;Directeur des Etudes;Moyenne;edukiya.com;;sans email
ETEP Abobo - Ecole Technique et Professionnelle;Grande ecole - BTS tertiaire et industriel;Prive;Abidjan - Abobo;Autoroute Banco entre la Coopec et le College Saint Joseph Abobo;+225 27 20 21 35 23;+225 01 02 20 59 34;;;;Directeur des Etudes (par campus);Moyenne;UPESUP;;sans email
ETIC Abobo - Ecole Technique Informatique et Commerciale;Ecole superieure technique - informatique et commerce;Prive;Abidjan - Abobo;;+225 07 07 24 63 15;;+225 07 07 24 63 15;;eticecole.com;Directeur des Etudes (par campus);Moyenne;Le Grand Frere;;sans email
GESTPCI - Groupe d'Enseignement Superieur Technique et Professionnel de Cote d'Ivoire;Grande ecole - tertiaire et industriel;Prive;Abidjan - Abobo;Abobo-Anador Cocoteraie;+225 07 59 74 39 10;+225 07 08 34 14 67;+225 07 59 74 39 10;infos24@gestpci.com;gestpci.com;Directeur des Etudes;Haute;Site officiel gestpci.com;domaine propre;morte
Groupe HETEC;Grande ecole - technologie / commerce;Prive;Abidjan - Abobo Plateau Dokui;01 BP 4389 Abidjan 01, derriere la Cite Forest;+225 25 24 01 00 82;+225 07 48 55 43 36;+225 01 03 51 70 89;info@groupehetec.com;www.hetec.ci;Directeur des Etudes;Moyenne;Le Grand Frere + Annuaire Pratik;domaine propre;morte
ISFCG - Institut Superieur de Formation en Commerce et Gestion d'Abidjan;Institut superieur - commerce et gestion;Prive;Abidjan - Adjame;Adjame quartier Saint-Michel;+225 27 22 52 49 48;+225 07 48 36 37 22;;;;Directeur des Etudes;Moyenne;CiTrade;;sans email
ISFMI - Institut Superieur de Formation aux Metiers de l'Informatique;Institut informatique - BTS et Licence pro;Prive;Abidjan - Adjame Roxy;Rue du Commerce Immeuble Kissimala face SIDAM - 20 BP 647 Abidjan 20;+225 27 20 32 83 39;+225 07 58 01 69 01;;infos@isfmi.net;isfmi.net;Directeur des Etudes;Haute;Site officiel isfmi.net;domaine propre;morte
Groupe HEC Abidjan;Business school;Prive;Abidjan - Cocody;Bd F. Mitterrand, face ecole de gendarmerie, Cocody;+225 07 88 01 01 01;+225 01 73 99 90 25;+225 07 88 01 01 01;contact@hecabidjan.ci;www.hecabidjan.ci;Directeur des Etudes;Moyenne;Site officiel + AnnuaireCI;domaine propre;valide
INSAAC (Institut National Superieur des Arts et de l'Action Culturelle);Grande ecole publique - arts;Public;Abidjan - Cocody;Bd Universite F. Houphouet-Boigny, 08 BP 49 Abidjan 08;+225 27 22 44 26 73;;;contact@insaac.edu.ci;www.insaac.edu.ci;Secretariat General / Directeur des Etudes;Moyenne;Page contact insaac.edu.ci;domaine propre;valide
IPNETP (Institut Pedagogique National de l'Enseignement Technique et Professionnel);Institut public - formation des formateurs;Public;Abidjan - Cocody;Rue du Lycee Technique, face Lycee Technique Cocody, 08 BP 2098 Abidjan 08;+225 27 22 44 67 69;+225 27 22 48 50 35;;infos@ipnetp.ci;ipnetp.ci;Directeur des Etudes;Moyenne;ipnetp.ci + AnnuaireCI;domaine propre;valide
ISTC Polytechnique;Grande ecole publique - communication;Public;Abidjan - Cocody;Bd de l'Universite, BPV 205 Abidjan-Cocody;+225 27 22 44 88 58;+225 27 22 44 84 33;;istc@istcpolytechnique.ci;www.istcpolytechnique.ci;Directeur des Etudes;Moyenne;Site officiel istcpolytechnique.ci;domaine propre;valide
Simplon Cote d'Ivoire;Academie de codage et fabrique numerique;Prive;Abidjan - Cocody;Abidjan Cocody;+225 05 44 03 45 45;+225 05 03 38 21 55;;simplonci@simplon.co;simplon.ci;Directeur des Etudes;Moyenne;simplon.ci;domaine propre;valide
UCAO-UUA - Universite Catholique de l'Afrique de l'Ouest;Universite privee - pluridisciplinaire;Prive confessionnel;Abidjan - Cocody;Rue Sainte Marie Cocody - 08 BP 22 Abidjan 08;+225 27 22 40 06 50;+225 05 46 01 92 70;;info@ucaouua.com;ucaouua.com;Directeur des Etudes;Haute;Site officiel ucaouua.com;domaine propre;valide
Groupe ESC (Ecole Superieure de Commerce);Grande ecole - commerce / BTS;Prive;Abidjan - Cocody (pres INSAAC);Face Grand Mediateur de la Republique, 25 BP 726 Abidjan 25;+225 27 22 48 89 95;+225 01 40 66 57 22;+225 01 40 66 57 22;esc-abidjan@gmail.com;www.esc-abj-bke.com;Directeur des Etudes;Moyenne;AnnuaireCI + alloecole.ci;gratuite;morte
EIT-NTIC Abidjan - Ecole Internationale Tertiaire et de Nouvelles Technologies;Institut superieur - informatique et tertiaire;Prive;Abidjan - Cocody Angre;Angre pres du nouveau pont et de la pharmacie de la 7eme tranche;+225 27 22 45 06 19;+225 05 05 45 71 21;;;;Directeur des Etudes;Moyenne;UPESUP;;sans email
UICI;Etablissement superieur prive - pluridisciplinaire;Prive;Abidjan - Cocody Angre;Angre 7eme tranche pres de la pharmacie de la 7eme - carrefour DJ Arafat;+225 27 22 42 10 15;+225 07 07 31 43 14;;;;Directeur des Etudes;Moyenne;UPESUP;;sans email
IISAN;Ecole superieure - BTS Licence Master informatique et reseaux;Prive;Abidjan - Cocody Angre 8eme Tranche;Angre 8eme tranche Cocody;+225 07 00 00 97 98;;;contact@iisan-abidjan.com;iisan-abidjan.com;Directeur des Etudes;Haute;Site officiel iisan-abidjan.com;domaine propre;valide
Neurones Academy;Centre de formation - informatique et cybersecurite;Prive;Abidjan - Cocody Angre 8eme Tranche;Angre 8eme Tranche Abidjan;+225 27 22 42 90 90;+225 07 88 88 61 61;;contact@neurones-academy.com;neurones-academy.com;Directeur des Etudes;Haute;Site officiel neurones-academy.com;domaine propre;valide
Institut Booster Afrique;Institut - BTS informatique reseaux et telecommunications;Prive;Abidjan - Cocody Angre Chateau;Cocody Angre Chateau Rue L220;+225 07 08 06 04 89;+225 01 03 33 92 09;;;institutboosterafrique.com;Directeur des Etudes;Moyenne;institutboosterafrique.com;;sans email
Groupe ESK - Ecole Superieure de Commerce et de Gestion;Grande ecole - commerce / gestion;Prive;Abidjan - Cocody Angre Deux-Plateaux;2 Plateaux Angre Route du Dokui - 06 BP 139 Abidjan 06;+225 27 22 42 17 26;;;groupeeskabidjan@yahoo.fr;groupeesk.net;Directeur des Etudes (par campus);Moyenne;Le Grand Frere;gratuite;valide
EIPC-Abidjan - Ecole Internationale des Ponts et Chaussees;Grande ecole - ingenierie / genie civil;Prive;Abidjan - Cocody Angre et Bingerville;Cocody Angre Chateau Boulevard Latrille vers le chateau d eau - annexe Bingerville Adjin Palmeraie;+225 27 22 29 03 55;+225 07 59 06 33 01;;secretariat@eipc-abidjan.ci;eipc-abidjan.ci;Directeur des Etudes (par campus);Haute;Site officiel eipc-abidjan.ci;domaine propre;valide
IFSM (Institut de Formation Sainte Marie);Institut superieur et professionnel;Prive;Abidjan - Cocody Cite des Arts;Boulevard Latrille, face Sodemi;+225 07 57 25 15 42;+225 05 94 55 09 17;+225 07 57 25 15 42;infos@ifsm.ci;ifsm.ci;Directeur des Etudes;Haute;Page contact ifsm.ci;domaine propre;valide
Africa Digital Academy;Academie - metiers du numerique;Prive;Abidjan - Cocody Danga;Rue du Lycee Technique Immeuble Fidelis 2eme etage;+225 07 49 57 41 91;;;contact@africadigital.academy;;Directeur des Etudes;Moyenne;Page officielle Africa Digital Academy;domaine propre;valide
ENSIT - Ecole Nouvelle Superieure d'Ingenieurs et de Technologie;Ecole d'ingenieurs - informatique et telecoms;Prive;Abidjan - Cocody Deux-Plateaux;Rue Farandole K22 Boulevard des Martyrs pres de l'ENA - 01 BP 3114 Abidjan 01;+225 01 01 53 30 36;+225 27 22 41 65 63;;;ensit.ci;Directeur des Etudes;Moyenne;AnnuaireCI + ensit.ci;;sans email
ESIA - Ecole Superieure d'Informatique Appliquee;Institut superieur - informatique;Prive;Abidjan - Cocody Deux-Plateaux Vallon;2 Plateaux Vallon Rue des Jardins pres de NSIA Banque - annexe Riviera Attoban;+225 27 21 76 18 25;+225 27 21 76 59 75;;;esia-ci.com;Directeur des Etudes;Moyenne;Le Grand Frere;;sans email
GEIGE - Grande Ecole d'Informatique et de Gestion d'Entreprise;Ecole d'informatique - reseaux telecoms et gestion;Prive;Abidjan - Cocody Deux-Plateaux Vallon;Rue des Jardins face station Corlay;+225 07 68 12 55 42;+225 01 73 29 48 90;;info@geige.ci;geige.ci;Directeur des Etudes;Haute;Site officiel geige.ci;domaine propre;morte
IMS - Institut de Management Superieur (GEA);Institut superieur - gestion des entreprises;Prive;Abidjan - Cocody Deux-Plateaux Vallon;7 Impasse le Chandelier Immeuble le Chandelier Cocody II Plateaux les Vallons;+225 27 22 41 36 49;+225 07 49 93 40 68;;;;Directeur des Etudes;Moyenne;UPESUP;;sans email
Sup'Management Cote d'Ivoire;Ecole superieure - management et systemes d'information;Prive;Abidjan - Cocody Deux-Plateaux Vallon;Rue des Jardins Deux Plateaux Vallon;+225 27 22 41 22 67;;;supmgtcivoire@supmanagement.ma;;Directeur des Etudes;Moyenne;supmanagement.ma;domaine propre;valide
Groupe ESCAM - Ecole Superieure de Commerce d'Administration et de Management;Grande ecole - commerce / gestion;Prive;Abidjan - Cocody et Bingerville;Campus Cocody et annexe Bingerville;+225 05 46 10 56 04;;;groupeescam@gmail.com;escamci.com;Directeur des Etudes (par campus);Moyenne;Le Grand Frere;gratuite;valide
Institut Universitaire d'Abidjan (IUA);Universite privee;Prive;Abidjan - Cocody II Plateaux 7e Tranche;Rue L40, Carrefour Cascades, 01 BP 12159 Abidjan 01;+225 27 22 42 22 65;+225 07 07 23 18 62;+225 07 07 23 18 62;info@iua.org;www.iuaci.org;Directeur des Etudes;Haute;Page contact officielle iuaci.org;domaine propre;valide
