vague,ecole,numero_whatsapp,lien_envoi_clic,message_a_copier,relance_J2,relance_J7,date_envoi,reponse,notes
1,AGITEL-FORMATION,+225 07 89 49 95 65,https://wa.me/2250789499565?text=Vos%20%C3%A9tudiants%20livrent%20d%C3%A9j%C3%A0%20du%20code%20%C3%A9crit%20par%20une%20IA.%0ALa%20plupart%20seraient%20incapables%20de%20l%27expliquer%20devant%20un%20jury.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20d%27AGITEL-FORMATION.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants livrent déjà du code écrit par une IA.
La plupart seraient incapables de l'expliquer devant un jury.

Bonjour, je m'adresse au Directeur des Études d'AGITEL-FORMATION. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,BEM Ecole de Banque et de Finance,+225 07 77 49 77 49,https://wa.me/2250777497749?text=Vos%20%C3%A9tudiants%20rendent%20d%C3%A9j%C3%A0%20des%20%C3%A9tudes%20de%20march%C3%A9%20avec%20des%20chiffres%20invent%C3%A9s%20par%20une%20IA.%0AEt%20ils%20ne%20le%20savent%20m%C3%AAme%20pas.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20de%20BEM%20%C3%89cole%20de%20Banque%20et%20de%20Finance.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants rendent déjà des études de marché avec des chiffres inventés par une IA.
Et ils ne le savent même pas.

Bonjour, je m'adresse au Directeur des Études de BEM École de Banque et de Finance. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,CFOMIS,+225 07 67 65 17 67,https://wa.me/2250767651767?text=Vos%20%C3%A9tudiants%20recopient%20d%C3%A9j%C3%A0%20des%20informations%20m%C3%A9dicales%20sorties%20d%27une%20IA.%0ASans%20les%20v%C3%A9rifier%20une%20seule%20fois.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20de%20CFOMIS.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants recopient déjà des informations médicales sorties d'une IA.
Sans les vérifier une seule fois.

Bonjour, je m'adresse au Directeur des Études de CFOMIS. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,CUP - Centre Universitaire Professionnalise d'Abidjan,+225 07 07 98 50 00,https://wa.me/2250707985000?text=Vos%20%C3%A9tudiants%20rendent%20d%C3%A9j%C3%A0%20des%20expos%C3%A9s%20et%20des%20m%C3%A9moires%20%C3%A9crits%20par%20une%20IA.%0AVos%20enseignants%20le%20voient%20sans%20pouvoir%20le%20prouver.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20de%20CUP.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants rendent déjà des exposés et des mémoires écrits par une IA.
Vos enseignants le voient sans pouvoir le prouver.

Bonjour, je m'adresse au Directeur des Études de CUP. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,EGT Ecole de la Geomatique et du Territoire,+225 07 05 20 74 85,https://wa.me/2250705207485?text=Vos%20%C3%A9tudiants%20recopient%20d%C3%A9j%C3%A0%20des%20notes%20de%20calcul%20sorties%20d%27une%20IA.%0ASans%20les%20refaire.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20d%27EGT%20%C3%89cole%20de%20la%20G%C3%A9omatique%20et%20du%20Territoire.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants recopient déjà des notes de calcul sorties d'une IA.
Sans les refaire.

Bonjour, je m'adresse au Directeur des Études d'EGT École de la Géomatique et du Territoire. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,EIPC-Abidjan - Ecole Internationale des Ponts et Chaussees,+225 07 59 06 33 01,https://wa.me/2250759063301?text=Vos%20%C3%A9tudiants%20recopient%20d%C3%A9j%C3%A0%20des%20notes%20de%20calcul%20sorties%20d%27une%20IA.%0ASans%20les%20refaire.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20d%27EIPC-Abidjan.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants recopient déjà des notes de calcul sorties d'une IA.
Sans les refaire.

Bonjour, je m'adresse au Directeur des Études d'EIPC-Abidjan. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,ESBTP (Ecole Speciale du Batiment et des Travaux Publics),+225 05 05 30 88 40,https://wa.me/2250505308840?text=Vos%20%C3%A9tudiants%20recopient%20d%C3%A9j%C3%A0%20des%20notes%20de%20calcul%20sorties%20d%27une%20IA.%0ASans%20les%20refaire.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20d%27ESBTP.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants recopient déjà des notes de calcul sorties d'une IA.
Sans les refaire.

Bonjour, je m'adresse au Directeur des Études d'ESBTP. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,ESCG La Sorbonne - Groupe La Sorbonne,+225 07 08 91 46 30,https://wa.me/2250708914630?text=Vos%20%C3%A9tudiants%20rendent%20d%C3%A9j%C3%A0%20des%20travaux%20%C3%A9crits%20par%20une%20IA.%0AVos%20enseignants%20le%20voient%20sans%20pouvoir%20le%20prouver.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20d%27ESCG%20La%20Sorbonne.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants rendent déjà des travaux écrits par une IA.
Vos enseignants le voient sans pouvoir le prouver.

Bonjour, je m'adresse au Directeur des Études d'ESCG La Sorbonne. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,ESMA - Ecole de Specialites Multimedia d'Abidjan,+225 07 02 77 66 31,https://wa.me/2250702776631?text=Vos%20%C3%A9tudiants%20produisent%20d%C3%A9j%C3%A0%20leurs%20dossiers%20avec%20une%20IA.%0ASans%20se%20douter%20de%20ce%20que%20%C3%A7a%20pose%20comme%20probl%C3%A8me%20de%20droits.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20d%27ESMA.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20%C3%A9tudiants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos étudiants produisent déjà leurs dossiers avec une IA.
Sans se douter de ce que ça pose comme problème de droits.

Bonjour, je m'adresse au Directeur des Études d'ESMA. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos étudiants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
1,EURO FORMATION Marcory,+225 05 05 08 84 10,https://wa.me/2250505088410?text=Vos%20apprenants%20utilisent%20d%C3%A9j%C3%A0%20l%27IA%20tous%20les%20jours.%0AAucun%20ne%20sait%20s%27en%20servir%20pour%20le%20m%C3%A9tier%20qu%27il%20vise.%0A%0ABonjour%2C%20je%20m%27adresse%20au%20Directeur%20des%20%C3%89tudes%20d%27EURO%20FORMATION%20Marcory.%20Personne%20ne%20leur%20a%20jamais%20donn%C3%A9%20la%20moindre%20r%C3%A8gle%20d%27usage%2C%20et%20c%27est%20l%27%C3%A9tablissement%20qui%20porte%20le%20risque.%0A%0ABIG%20R%C3%89USSITE%20r%C3%A8gle%20%C3%A7a%20en%20une%20s%C3%A9ance%20de%202h%2C%20dans%20votre%20classe%2C%20sur%20les%20t%C3%A9l%C3%A9phones%20de%20vos%20apprenants.%20Aucune%20salle%20informatique%2C%20aucun%20investissement.%0A%0AJe%20vous%20envoie%20le%20programme%20en%201%20page%20%3F,"Vos apprenants utilisent déjà l'IA tous les jours.
Aucun ne sait s'en servir pour le métier qu'il vise.

Bonjour, je m'adresse au Directeur des Études d'EURO FORMATION Marcory. Personne ne leur a jamais donné la moindre règle d'usage, et c'est l'établissement qui porte le risque.

BIG RÉUSSITE règle ça en une séance de 2h, dans votre classe, sur les téléphones de vos apprenants. Aucune salle informatique, aucun investissement.

Je vous envoie le programme en 1 page ?","La question n'est pas de savoir si vos étudiants utilisent l'IA.
Elle est de savoir qui leur apprend à s'en servir.

Le programme tient en 1 page, deux minutes de lecture. Je vous l'envoie ?","Dernière relance de ma part.

Si le sujet n'est pas d'actualité cette année, dites-le moi simplement, je n'insisterai pas.
Si au contraire vous voulez en parler, 15 minutes suffisent, quand cela vous arrange.",,,
