vague;ecole;ville_commune;telephone_1;whatsapp;email;nom_du_directeur_des_etudes;date_1er_contact;statut;palier_retenu;nb_classes;date_seance_1;montant_attendu;notes
1;AGITEL-FORMATION;Abidjan - Cocody Riviera Palmeraie;+225 27 22 23 60 03;+225 07 89 49 95 65;infos@agitel-formation.net;;;A contacter;;;;;
1;BEM Ecole de Banque et de Finance;Abidjan Cocody;+225 27 21 77 67 41;+225 07 77 49 77 49;contact@bem.ci;;;A contacter;;;;;
1;CFOMIS;Abidjan Yopougon;+225 27 23 48 90 95;+225 07 67 65 17 67;infos@cfomis-ci.com;;;A contacter;;;;;
1;CUP - Centre Universitaire Professionnalise d'Abidjan;Abidjan - Cocody Riviera 3;+225 27 22 48 64 27;+225 07 07 98 50 00;infos@cup-ci.org;;;A contacter;;;;;
1;ECG - Ecole de Commerce et de Gestion;Abidjan - Marcory Zone 4;+225 27 21 24 42 23;+225 27 21 35 59 80;infos@ecgecole.com;;;A contacter;;;;;
1;EGT Ecole de la Geomatique et du Territoire;Abidjan Cocody;+225 07 05 20 74 85;;david.niamien@egt.ci;;;A contacter;;;;;
1;EIPC-Abidjan - Ecole Internationale des Ponts et Chaussees;Abidjan - Cocody Angre et Bingerville;+225 27 22 29 03 55;+225 07 59 06 33 01;secretariat@eipc-abidjan.ci;;;A contacter;;;;;
1;Epitech Cote d'Ivoire;Abidjan - Cocody Riviera Faya;;;info@epitech.bj;;;A contacter;;;;;
1;ESBTP (Ecole Speciale du Batiment et des Travaux Publics);Abidjan - Plateau (+ Yopougon, Treichville, Riviera);+225 27 20 32 80 01;+225 05 05 30 88 40;esbtpab@aviso.ci;;;A contacter;;;;;
1;ESC Castaing - Ecole Superieure de Commerce Castaing;Abidjan - Plateau;+225 27 20 21 22 89;+225 27 20 21 63 47;castaing@aviso.ci;;;A contacter;;;;;
1;ESCG La Sorbonne - Groupe La Sorbonne;Abidjan Yopougon;+225 27 23 46 85 82;+225 07 08 91 46 30;contact@groupelasorbonne.com;;;A contacter;;;;;
1;ESMA - Ecole de Specialites Multimedia d'Abidjan;Abidjan - Cocody Riviera 2;+225 27 22 47 11 12;+225 07 02 77 66 31;infos@esma-edu.com;;;A contacter;;;;;
1;EURO FORMATION Marcory;Abidjan - Marcory Zone 4;+225 27 21 25 45 15;+225 05 05 08 84 10;;;;A contacter;;;;;
1;GEIGE - Grande Ecole d'Informatique et de Gestion d'Entreprise;Abidjan - Cocody Deux-Plateaux Vallon;+225 07 68 12 55 42;+225 01 73 29 48 90;info@geige.ci;;;A contacter;;;;;
1;GESTPCI - Groupe d'Enseignement Superieur Technique et Professionnel de Cote d'Ivoire;Abidjan - Abobo;+225 07 59 74 39 10;+225 07 59 74 39 10;infos24@gestpci.com;;;A contacter;;;;;
1;Groupe CSI Pole Polytechnique;Abidjan - Cocody Riviera Bonoumin;+225 27 22 49 49 39;+225 05 05 75 39 45;info@groupecsi-pp.com;;;A contacter;;;;;
1;Groupe ETP-ESMIT;Abidjan Yopougon;+225 07 08 08 89 80;+225 01 40 19 53 30;groupe.esmit@gmail.com;;;A contacter;;;;;
1;IFSM (Institut de Formation Sainte Marie);Abidjan - Cocody Cite des Arts;+225 07 57 25 15 42;+225 07 57 25 15 42;infos@ifsm.ci;;;A contacter;;;;;
1;IISAN;Abidjan - Cocody Angre 8eme Tranche;+225 07 00 00 97 98;;contact@iisan-abidjan.com;;;A contacter;;;;;
1;IMGH Institut de Management de Gestion et d Hotellerie;Abidjan Yopougon;+225 07 48 09 09 29;+225 01 02 63 56 58;;;;A contacter;;;;;
1;Institut Universitaire d'Abidjan (IUA);Abidjan - Cocody II Plateaux 7e Tranche;+225 27 22 42 22 65;+225 07 07 23 18 62;info@iua.org;;;A contacter;;;;;
1;ISAECI;Abidjan Cocody;+225 27 22 43 54 05;+225 07 09 74 28 16;contact@isaeci.com;;;A contacter;;;;;
1;ISFMI - Institut Superieur de Formation aux Metiers de l'Informatique;Abidjan - Adjame Roxy;+225 27 20 32 83 39;+225 07 58 01 69 01;infos@isfmi.net;;;A contacter;;;;;
1;IUPA Cocody - Institut Universitaire Polytechnique d'Abidjan;Abidjan - Cocody Riviera Bonoumin;;;iupacocody@iupa-ismt.ci;;;A contacter;;;;;
1;IUPA Yopougon - Institut Universitaire Polytechnique d'Abidjan;Abidjan - Yopougon;+225 07 79 63 51 90;+225 07 79 63 51 90;iupayop@iupa-ismt.ci;;;A contacter;;;;;
1;Neurones Academy;Abidjan - Cocody Angre 8eme Tranche;+225 27 22 42 90 90;+225 07 88 88 61 61;contact@neurones-academy.com;;;A contacter;;;;;
1;PIGIER Cote d'Ivoire;Abidjan - Plateau (+ Yopougon, Yamoussoukro);+225 27 20 30 35 00;+225 07 08 33 45 39;pigierci@pigierci.com;;;A contacter;;;;;
1;UCAO-UUA - Universite Catholique de l'Afrique de l'Ouest;Abidjan - Cocody;+225 27 22 40 06 50;+225 05 46 01 92 70;info@ucaouua.com;;;A contacter;;;;;
1;UIST - Universite Internationale des Sciences et Technologie;Abidjan - Cocody Riviera Bonoumin;+225 07 09 47 87 16;+225 07 78 46 60 78;;;;A contacter;;;;;
1;Universite Methodiste de Cote d'Ivoire (UMECI);Abidjan Cocody;+225 27 22 44 66 68;+225 27 22 44 90 77;;;;A contacter;;;;;
2;Africa Digital Academy;Abidjan - Cocody Danga;+225 07 49 57 41 91;;contact@africadigital.academy;;;A contacter;;;;;
2;AIB SARL - Afrique Informatique Bureautique;Abidjan - Plateau;+225 27 20 32 40 78;+225 27 20 33 13 53;;;;A contacter;;;;;
2;AIST Plateau - Academie Internationale des Sciences et Techniques;Abidjan - Plateau;+225 27 20 22 60 20;+225 05 05 99 45 13;plateau@groupeaist.net;;;A contacter;;;;;
2;AIST Treichville - Academie Internationale des Sciences et Techniques;Abidjan - Treichville;+225 01 02 10 68 29;+225 27 21 24 12 18;treichville@groupeaist.net;;;A contacter;;;;;
2;CESA Koumassi - Centre d Etudes Superieures des Affaires d Abidjan;Abidjan - Koumassi;+225 27 21 56 31 74;+225 07 57 82 11 81;;;;A contacter;;;;;
2;CESA Plateau - Centre d Etudes Superieures des Affaires d Abidjan;Abidjan - Plateau;+225 27 20 21 97 56;+225 27 21 56 31 74;cesa-plateau@cofecesa.net;;;A contacter;;;;;
2;College Heleis Yamoussoukro;Yamoussoukro;+225 27 30 64 77 33;;collegeheleis@hotmail.fr;;;A contacter;;;;;
2;Ecole Hoteliere de Grand-Bassam EHB;Grand-Bassam;+225 07 77 24 39 70;+225 27 21 00 09 69;;;;A contacter;;;;;
2;Ecole Superieure de Gestion (ESG);Abidjan Cocody;+225 07 08 58 08 88;;infos@esg-ci.com;;;A contacter;;;;;
2;Ecole Superieure des Affaires et de Management (ESAM);Abidjan Treichville Zone 2;+225 27 21 25 46 00;+225 27 21 25 64 00;;;;A contacter;;;;;
2;EIT-NTIC Abidjan - Ecole Internationale Tertiaire et de Nouvelles Technologies;Abidjan - Cocody Angre;+225 27 22 45 06 19;+225 05 05 45 71 21;;;;A contacter;;;;;
2;ENSIT - Ecole Nouvelle Superieure d'Ingenieurs et de Technologie;Abidjan - Cocody Deux-Plateaux;+225 01 01 53 30 36;+225 27 22 41 65 63;;;;A contacter;;;;;
2;ESAM Vridi - Ecole Superieure des Affaires et du Management;Abidjan - Port-Bouet;+225 27 21 27 42 00;+225 27 21 27 42 42;groupeesam.ci.nv@gmail.com;;;A contacter;;;;;
2;ESAM Yamoussoukro - Ecole Superieure des Affaires et du Management;Yamoussoukro;+225 27 30 64 20 42;+225 27 30 64 27 64;;;;A contacter;;;;;
2;ESETEC - Ecole Superieure de l'Enseignement Technique et Commercial;Yamoussoukro;+225 07 07 86 73 38;+225 07 07 03 70 04;;;;A contacter;;;;;
2;ESGS San-Pedro - Ecole Superieure de Gestion et des Specialites;San-Pedro;+225 07 89 07 07 01;;esgs.sp.ci@gmail.com;;;A contacter;;;;;
2;ESGS Yamoussoukro - Ecole Superieure de Gestion et des Specialites;Yamoussoukro;+225 07 89 07 07 01;;esgs.sp.ci@gmail.com;;;A contacter;;;;;
2;ESIA - Ecole Superieure d'Informatique Appliquee;Abidjan - Cocody Deux-Plateaux Vallon;+225 27 21 76 18 25;+225 27 21 76 59 75;;;;A contacter;;;;;
2;ESIM Yopougon - Ecole Superieure d'Industrie et de Management;Abidjan - Yopougon;+225 27 23 46 02 10;;;;;A contacter;;;;;
2;ESK Yopougon - Ecole Superieure de Commerce et de Gestion;Abidjan - Yopougon;+225 27 22 42 17 26;+225 27 22 52 25 86;;;;A contacter;;;;;
2;ESTC Marcory - Ecole Superieure Technique et Commerciale;Abidjan - Marcory;+225 05 55 55 86 55;;;;;A contacter;;;;;
2;ESTEAI - Ecole Superieure des Techniques Electroniques Audiovisuelles et Informatiques;Abidjan;+225 05 75 26 03 53;;;;;A contacter;;;;;
2;ESTP (Ecole Superieure Technique et Professionnelle);Abidjan - Yopougon Bel Air;+225 27 23 52 89 18;;;;;A contacter;;;;;
2;ETEP Abobo - Ecole Technique et Professionnelle;Abidjan - Abobo;+225 27 20 21 35 23;+225 01 02 20 59 34;;;;A contacter;;;;;
2;ETIC Abobo - Ecole Technique Informatique et Commerciale;Abidjan - Abobo;+225 07 07 24 63 15;+225 07 07 24 63 15;;;;A contacter;;;;;
2;ETIC Yopougon - Ecole Technique Informatique et Commerciale;Abidjan - Yopougon;+225 07 07 40 88 38;+225 07 07 40 88 38;;;;A contacter;;;;;
2;GEA Groupe Ecoles Abidjan;Abidjan Cocody;+225 05 74 27 04 97;;info@gea-ci.com;;;A contacter;;;;;
2;Groupe CERCO Cote d'Ivoire;Abidjan - Deux Plateaux Vallon;+225 07 07 10 55 63;+225 07 58 27 08 27;cerco@groupecerco.com;;;A contacter;;;;;
2;Groupe ESC (Ecole Superieure de Commerce);Abidjan - Cocody (pres INSAAC);+225 27 22 48 89 95;+225 01 40 66 57 22;esc-abidjan@gmail.com;;;A contacter;;;;;
2;Groupe ESCAM - Ecole Superieure de Commerce d'Administration et de Management;Abidjan - Cocody et Bingerville;+225 05 46 10 56 04;;groupeescam@gmail.com;;;A contacter;;;;;
2;Groupe ESCOGET - Ecole Superieure de Commerce de Gestion et de Technologie;Abidjan - Plateau et Riviera Palmeraie;+225 07 78 39 15 14;+225 27 22 49 49 62;info@groupescoget.com;;;A contacter;;;;;
2;Groupe ESICOM (Ecole Superieure d'Informatique et de Commerce);Abidjan - Plateau;+225 27 20 21 40 13;+225 01 01 32 46 09;;;;A contacter;;;;;
2;Groupe ESK - Ecole Superieure de Commerce et de Gestion;Abidjan - Cocody Angre Deux-Plateaux;+225 27 22 42 17 26;;groupeeskabidjan@yahoo.fr;;;A contacter;;;;;
2;Groupe HEC Abidjan;Abidjan - Cocody;+225 07 88 01 01 01;+225 07 88 01 01 01;contact@hecabidjan.ci;;;A contacter;;;;;
2;Groupe HETEC;Abidjan - Abobo Plateau Dokui;+225 25 24 01 00 82;+225 01 03 51 70 89;info@groupehetec.com;;;A contacter;;;;;
2;Groupe LOKO (UTT / ISTTA / EST-LOKO);Abidjan - Marcory, Yopougon;+225 27 21 75 29 90;+225 27 21 21 19 20;infos@groupeloko.com;;;A contacter;;;;;
2;GSM;Abidjan - Cocody Riviera Palmeraie;+225 05 54 27 28 75;;;;;A contacter;;;;;
2;IFED - Institut de Formation et d'Education de Daloa;Daloa;+225 27 32 78 09 88;;;;;A contacter;;;;;
2;IIPEA - Institut International Polytechnique des Elites d'Abidjan;Abidjan - Cocody Riviera 2;+225 07 08 08 87 87;+225 07 69 36 08 57;secretariat@iipea.com;;;A contacter;;;;;
2;IIT - Institut Ivoirien de Technologie;Grand-Bassam;+225 01 53 15 15 15;;contact@iit.ci;;;A contacter;;;;;
2;IMS - Institut de Management Superieur (GEA);Abidjan - Cocody Deux-Plateaux Vallon;+225 27 22 41 36 49;+225 07 49 93 40 68;;;;A contacter;;;;;
2;Institut Booster Afrique;Abidjan - Cocody Angre Chateau;+225 07 08 06 04 89;+225 01 03 33 92 09;;;;A contacter;;;;;
2;Institut LKM Yopougon;Abidjan - Yopougon;+225 27 23 49 60 03;+225 07 07 32 82 72;;;;A contacter;;;;;
2;ISACM - Institut Superieur des Arts et du Commerce Management;Korhogo;;;contact@isacm.ci;;;A contacter;;;;;
2;ISFCG - Institut Superieur de Formation en Commerce et Gestion d'Abidjan;Abidjan - Adjame;+225 27 22 52 49 48;+225 07 48 36 37 22;;;;A contacter;;;;;
2;ISTCI - Institut Superieur de Technologie de Cote d'Ivoire;Abidjan - Plateau et Cocody;+225 27 20 22 70 82;+225 27 20 22 69 22;;;;A contacter;;;;;
2;ITA - Institut des Technologies d'Abidjan;Abidjan - Marcory Zone 4;+225 27 21 28 32 92;+225 07 08 11 86 87;info@ita-education.ci;;;A contacter;;;;;
2;ITES (Institut de Technologies et Specialites);Abidjan - Cocody II Plateaux Sanon;+225 27 22 52 20 84;;infos@ites.ci;;;A contacter;;;;;
2;IUSS Institut Universitaire des Sciences de la Sante de Cote d Ivoire;Abidjan Cocody;+225 05 74 74 70 65;+225 07 07 11 00 48;;;;A contacter;;;;;
2;Simplon Cote d'Ivoire;Abidjan - Cocody;+225 05 44 03 45 45;+225 05 03 38 21 55;simplonci@simplon.co;;;A contacter;;;;;
2;Sup'Management Cote d'Ivoire;Abidjan - Cocody Deux-Plateaux Vallon;+225 27 22 41 22 67;;supmgtcivoire@supmanagement.ma;;;A contacter;;;;;
2;SUPAGRO AFRIQUE;Yamoussoukro;+225 27 30 00 28 88;+225 07 69 69 66 19;infos@supagro-afrique.com;;;A contacter;;;;;
2;UICI;Abidjan - Cocody Angre;+225 27 22 42 10 15;+225 07 07 31 43 14;;;;A contacter;;;;;
2;Universite Catholique de l'Afrique de l'Ouest - Unite Universitaire d'Abidjan (UCAO-UUA);Abidjan Cocody;+225 27 22 40 06 50;;info@ucaouua.com;;;A contacter;;;;;
2;Universite Charles Louis de Montesquieu (UCLM);Abidjan Cocody;+225 07 07 87 25 41;+225 01 42 97 21 65;;;;A contacter;;;;;
2;Universite de l'Atlantique;Abidjan - Cocody Rue des Jardins;+225 01 40 06 92 92;+225 01 40 06 93 93;uatl@aviso.ci;;;A contacter;;;;;
2;Universite Internationale de Grand-Bassam (UIGB/IUGB);Grand-Bassam (+ bureau Abidjan Deux Plateaux);+225 27 21 30 34 57;+225 27 22 41 30 41;info@uigb.org;;;A contacter;;;;;
3;AGEFOP - Agence Nationale de la Formation Professionnelle;Abidjan Marcory Zone 4;+225 07 77 74 93 80;;;;;A contacter;;;;;
3;ARSTM Academie Regionale des Sciences et Techniques de la Mer;Abidjan Yopougon;+225 27 23 46 08 08;+225 01 01 08 08 02;arstminfo@arstm.net;;;A contacter;;;;;
3;ESATIC (Ecole Superieure Africaine des TIC);Abidjan - Treichville;+225 27 21 21 81 00;+225 01 03 10 81 81;;;;A contacter;;;;;
3;INFAS Institut National de Formation des Agents de Sante;Abidjan;+225 07 87 88 99 02;+225 05 64 87 80 70;;;;A contacter;;;;;
3;INP-HB (Institut National Polytechnique Felix Houphouet-Boigny);Yamoussoukro (+ antenne Abidjan);+225 27 30 64 66 61;+225 05 01 80 00 19;secretariatdg@inphb.ci;;;A contacter;;;;;
3;INSAAC (Institut National Superieur des Arts et de l'Action Culturelle);Abidjan - Cocody;+225 27 22 44 26 73;;contact@insaac.edu.ci;;;A contacter;;;;;
3;IPNETP (Institut Pedagogique National de l'Enseignement Technique et Professionnel);Abidjan - Cocody;+225 27 22 44 67 69;+225 27 22 48 50 35;infos@ipnetp.ci;;;A contacter;;;;;
3;ISTC Polytechnique;Abidjan - Cocody;+225 27 22 44 88 58;+225 27 22 44 84 33;istc@istcpolytechnique.ci;;;A contacter;;;;;
3;Lycee Municipal d'Abobo;Abidjan Abobo;+225 05 06 80 53 60;;;;;A contacter;;;;;
3;Lycee Professionnel Commercial de Yopougon (LPCY);Abidjan Yopougon;+225 01 73 56 01 01;;lpcyop@gmail.com;;;A contacter;;;;;
3;Lycee Professionnel Hotelier d'Abidjan (LPHA Riviera);Abidjan Cocody Riviera Golf;+225 27 22 43 00 73;+225 27 22 43 25 88;lyceeprofhotelier@yahoo.fr;;;A contacter;;;;;
3;Lycee Scientifique de Yamoussoukro;Yamoussoukro;+225 27 30 64 07 88;;lyceescientifiqueyakro@gmail.com;;;A contacter;;;;;
3;Lycee Technique d'Abidjan (LTA Cocody);Abidjan Cocody;+225 27 22 40 60 87;;lyceetechniqueabidjan@yahoo.fr;;;A contacter;;;;;
3;Universite Alassane Ouattara (UAO);Bouake;+225 27 31 60 50 24;;infoline@uao.edu.ci;;;A contacter;;;;;
3;Universite Jean Lorougnon Guede (UJLoG);Daloa;+225 27 32 78 75 83;;sercom@ujlg.edu.ci;;;A contacter;;;;;
3;Universite Nangui Abrogoua (UNA);Abidjan Abobo-Adjame;+225 05 85 07 58 05;;info@univ-na.ci;;;A contacter;;;;;
3;Universite Peleforo Gon Coulibaly (UPGC);Korhogo;+225 07 48 61 71 14;+225 01 51 21 56 05;;;;A contacter;;;;;
3;Universite Polytechnique de San-Pedro (USP);San-Pedro;+225 05 06 88 56 46;+225 27 34 70 12 84;informations@usp.edu.ci;;;A contacter;;;;;
3;Universite Virtuelle de Cote d'Ivoire (UVCI);Abidjan Cocody;;;secretariat@uvci.edu.ci;;;A contacter;;;;;
